"","time"
"1",5.15260641463101
"2",45.5470042349895
"3",62.1011099380381
"4",6.2903746124357
"5",17.0950390069715
"6",7.2189267212525
"7",122.902580809997
"8",10.510543640703
"9",13.4421636303887
"10",28.1362482833872
"11",24.8591875644836
"12",20.8503259519551
"13",28.8645569129351
"14",31.9749343010101
"15",19.4404271850362
"16",41.7525446576007
"17",25.2718638888909
"18",4.16037790480425
"19",8.95124450681716
"20",15.0507181277499
"21",16.0299335885793
"22",34.0432625344459
"23",21.7000779822801
"24",10.1245886972174
"25",71.0517779886167
"26",8.29004839528352
"27",16.2974948761985
"28",18.2030766271055
"29",13.9833312481642
"30",28.4620380575273
"31",57.2306079578526
"32",5.90763362743421
"33",18.1867718836293
"34",10.9527664489307
"35",35.6168491795901
"36",63.6430369093459
"37",26.2084064526919
"38",30.3984457800601
"39",21.2849583650444
"40",15.6367276388998
"41",0.571623360738158
"42",51.8472558793552
"43",26.9565405132504
"44",8.08138831881085
"45",7.47900734189898
"46",5.38840767927468
"47",77.6221275850575
"48",27.9710197178711
"49",1.90182121004909
"50",72.0770458521168
"51",7.99237513449043
"52",15.7531259860843
"53",4.01434006315573
"54",43.3649853964276
"55",28.2775185368915
"56",2.65142419841141
"57",42.6670225311942
"58",5.55581533708319
"59",26.6526117244079
"60",3.66423516534269
"61",26.518943448222
"62",12.1883113961667
"63",0.425556342729727
"64",4.12864273879677
"65",42.1376023995511
"66",28.8067967711452
"67",13.1455374229699
"68",29.2209834313456
"69",4.96701832395047
"70",158.653335171312
"71",71.7937108650248
"72",17.2873013885692
"73",10.2018563775346
"74",58.0815904003508
"75",7.92753984220326
"76",109.337004286455
"77",2.7913761511445
"78",4.43329882342368
"79",12.5543001294136
"80",30.3705563663009
"81",2.37444358264308
"82",56.0954461819843
"83",32.9094262315396
"84",126.290090039261
"85",78.3217567313831
"86",120.362384033607
"87",167.50766827648
"88",99.0909655274977
"89",2.07561986407845
"90",91.7010734924927
"91",30.4141612058941
"92",17.1995570976287
"93",16.3133456628866
"94",32.9072514629427
"95",9.55602520611137
"96",21.813831364585
"97",25.8571500877354
"98",50.4801631134875
"99",29.5772959279332
"100",1.82983442209661
"101",105.528466429563
"102",12.7039636485279
"103",30.6119384138349
"104",18.22788647376
"105",7.04392464668452
"106",14.84632038977
"107",123.829668921636
"108",2.20361557323486
"109",6.66816031287813
"110",4.2813620204106
"111",30.9389581704948
"112",41.4314960303221
"113",74.2757833897512
"114",80.7365820705335
"115",57.7756432232387
"116",38.4275341952655
"117",3.02098771941199
"118",47.2203485456236
"119",8.21277860552073
"120",42.1499161583312
"121",1.34419210778342
"122",9.37377856113017
"123",2.28162065779753
"124",63.9884102539714
"125",11.763205700554
