"","time"
"1",10.7269257446751
"2",13.6698846402578
"3",10.172726623714
"4",10.1665282354224
"5",10.2251520939171
"6",13.8906818686519
"7",14.4138179975562
"8",14.1923313797452
"9",13.8355359539855
"10",14.1466855991166
"11",14.8962223797571
"12",11.3495713914745
"13",14.4232281122822
"14",13.5634319961537
"15",11.2144907854963
"16",12.7508860919625
"17",12.2714001871645
"18",11.3565112405922
"19",11.4411634765565
"20",10.8658288000152
"21",11.3918848114554
"22",13.8922360271681
"23",14.75216574152
"24",14.5209772209637
"25",14.4134373194538
"26",12.6053586730268
"27",12.4795883812476
"28",11.1060931533575
"29",12.818870882038
"30",12.7812579134479
"31",14.536136611132
"32",14.8741099319886
"33",10.171451024944
"34",11.4467915345449
"35",12.0728002558462
"36",12.134837260237
"37",14.1256813867949
"38",12.3813012323808
"39",11.5487236878835
"40",11.3505283149425
"41",13.3112765022088
"42",10.9791610692628
"43",11.4641985949129
"44",12.1400864608586
"45",13.4870146715548
"46",11.0721534851473
"47",13.9137199008837
"48",13.6024089716375
"49",13.1821244570892
"50",10.9827378811315
"51",11.2961621349677
"52",11.6404660244007
"53",10.1646936929319
"54",10.5105553555768
"55",14.3251466169022
"56",10.877345445333
"57",10.2116300119087
"58",13.0780937871896
"59",10.210339872865
"60",12.416610782966
"61",13.6834088864271
"62",10.2258518734016
"63",10.5117905850057
"64",14.7515480034053
"65",11.1888493900187
"66",11.8500617751852
"67",11.8374481482897
"68",10.0069205835462
"69",14.5773696270771
"70",14.616547835758
"71",12.0812503097113
"72",12.9667557845823
"73",12.0507263194304
"74",14.3721209268551
"75",14.1799190093298
"76",13.8214980345219
"77",12.7863443386741
"78",13.7052360293455
"79",10.6426605419256
"80",11.1049099324737
"81",10.2547285228502
"82",14.4512396876235
"83",12.6649379113223
"84",10.7468865008559
"85",14.2135197634343
"86",11.8033889983781
"87",10.5409979668912
"88",12.5878934923094
"89",12.0223479601555
"90",13.1647838640492
"91",11.8687455414329
"92",12.161310747033
"93",11.9693679374177
"94",12.0418858272023
"95",13.535922478186
"96",10.7357305265032
"97",11.9825790601317
"98",13.4647239046171
"99",13.701536214212
"100",10.9393753297627
"101",12.3295902705286
"102",13.1874490331393
"103",13.427256407449
"104",12.8073963639326
"105",10.7480578590184
"106",13.292262328323
"107",13.3091068745125
"108",11.079736603424
"109",10.4886951355729
"110",10.507442606613
"111",12.2374406876042
"112",11.0875934606884
"113",10.3971896902658
"114",10.0962267129216
"115",12.5464594142977
"116",12.4923850537743
"117",10.4417805210687
"118",11.9567546551116
"119",12.0262888201978
"120",14.6392154030036
"121",14.1228833072819
"122",12.3259329155553
"123",14.3864485132508
"124",12.0384339080192
"125",12.9240276897326
"126",11.571614893619
"127",10.7862517016474
"128",14.9048580171075
"129",10.8125346386805
"130",11.5488050330896
"131",13.9920023200102
"132",11.1139603168704
"133",14.1405993408989
"134",14.006032939069
"135",12.2942162305117
"136",10.8807790849824
"137",10.092106355587
"138",14.2329510231502
"139",10.0193682580721
"140",12.8057478810661
"141",13.2448566250969
"142",10.2723294205498
"143",12.3745420435444
"144",11.7307409294881
"145",11.8731297855265
"146",10.2963960333727
"147",10.3981807897799
"148",13.3105799858458
"149",10.8737624436617
"150",11.2645207007881
"151",13.0670315248426
"152",14.1221125074662
"153",14.7799619170837
"154",10.9308137919288
"155",13.8707066886127
"156",12.0325779682025
"157",10.9425932797603
"158",10.9041408647317
"159",14.4978588365484
"160",11.0951574507635
"161",13.1011789047625
"162",12.4951126601081
"163",14.567597162677
"164",12.4358327640221
"165",12.431324054487
"166",14.8328953387681
"167",10.4375007993076
"168",13.827063444769
"169",13.0847668077331
"170",13.0083237634972
"171",13.6561058077496
"172",12.0643068291247
"173",14.4760292500723
"174",12.618785565719
"175",12.6784331619274
"176",11.4853831043001
"177",10.242503231857
"178",13.0060818360653
"179",10.0551211391576
"180",13.2699843531009
"181",13.1403424357995
"182",12.5889520870987
"183",12.1774920995813
"184",11.2057481578086
"185",13.7903638673015
"186",12.0036589540541
"187",12.3300794186071
"188",11.1757781694178
"189",12.0141785987653
"190",12.8852489183191
"191",11.9680333789438
"192",12.8741284506395
"193",13.8324101222679
"194",12.6614675263409
"195",14.9002927192487
"196",11.1871448927559
"197",11.4820846240036
"198",14.8451142897829
"199",13.190342184389
"200",13.3816199691501
"201",13.7440105841961
"202",11.2827666313387
"203",13.449349985458
"204",14.0407134883571
"205",11.5107441518921
"206",14.8606067174114
"207",11.6580009623431
"208",13.8552641624119
"209",11.3818905490916
